model,DataBench_CTA,DataBench_JoinMap,DataBench_TableReformat,aime_i_2024,aime_ii_2024,amc_12a_2023,amc_12b_2023,house_traversal,livecodebench_lite_generation,livecodebench_plus_completion,livecodebench_plus_selection,math_characteristic_polynomial,math_complete_square,math_derivatives,math_determinant,math_factor_polynomials,math_gcd,math_geometric_mean,math_integral,math_std,math_variance,smc,web_of_lies_v2,zebra_puzzle
abacus-smaug3-70b,50.0,25.216,46.0,7.143,0.0,16.0,24.0,26.0,26.0,9.677,19.048,0.0,20.0,30.0,30.0,0.0,30.0,10.0,0.0,0.0,30.0,35.294,40.0,12.0
abacus-smaug3-70b-no-rope,50.0,26.767,40.0,0.0,6.667,36.0,32.0,18.0,34.0,6.452,19.048,0.0,10.0,30.0,40.0,0.0,30.0,10.0,40.0,0.0,30.0,29.412,48.0,10.0
claude-3-haiku-20240307,50.0,12.63,62.0,7.143,0.0,28.0,20.0,40.0,28.0,3.226,33.333,0.0,0.0,40.0,20.0,0.0,30.0,10.0,0.0,0.0,20.0,35.294,20.0,32.0
claude-3-opus-20240229,58.0,40.93,64.0,14.286,0.0,52.0,60.0,62.0,38.0,12.903,28.571,0.0,40.0,60.0,30.0,20.0,40.0,10.0,40.0,70.0,70.0,58.824,48.0,34.0
claude-3-sonnet-20240229,56.0,15.72,62.0,0.0,0.0,20.0,24.0,50.0,32.0,12.903,14.286,0.0,0.0,60.0,20.0,10.0,40.0,20.0,10.0,20.0,30.0,35.294,14.0,36.0
gemini-1.5-pro-latest,54.0,38.381,66.0,21.429,0.0,40.0,40.0,50.0,34.0,16.129,19.048,0.0,80.0,70.0,30.0,30.0,40.0,10.0,40.0,10.0,30.0,64.706,10.0,24.0
gpt-3.5-turbo-0125,50.0,19.647,54.0,0.0,6.667,8.0,12.0,32.0,32.0,0.0,33.333,0.0,40.0,50.0,30.0,10.0,30.0,20.0,30.0,0.0,20.0,17.647,18.0,22.0
gpt-3.5-turbo-1106,50.0,17.104,58.0,0.0,0.0,28.0,24.0,30.0,30.0,6.452,33.333,0.0,20.0,40.0,30.0,10.0,30.0,10.0,30.0,0.0,0.0,35.294,20.0,22.0
gpt-4-0125-preview,56.0,36.185,70.0,21.429,0.0,48.0,44.0,26.0,46.0,9.677,42.857,0.0,80.0,70.0,50.0,20.0,40.0,10.0,40.0,30.0,30.0,52.941,52.0,44.0
gpt-4-1106-preview,56.0,27.977,70.0,14.286,13.333,52.0,44.0,24.0,44.0,9.677,33.333,0.0,70.0,70.0,50.0,40.0,40.0,10.0,30.0,60.0,40.0,47.059,64.0,40.0
gpt-4-turbo-2024-04-09,54.0,35.959,64.0,21.429,6.667,56.0,52.0,60.0,52.0,9.677,28.571,0.0,90.0,60.0,50.0,10.0,40.0,30.0,50.0,40.0,50.0,70.588,70.0,38.0
gpt-4o-2024-05-13,64.0,29.229,64.0,14.286,0.0,56.0,52.0,34.0,50.0,9.677,38.095,30.0,80.0,80.0,60.0,30.0,40.0,20.0,50.0,20.0,40.0,52.941,70.0,40.0
llama-2-7b-chat-hf,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
meta-llama-3-70b-instruct,54.0,25.243,48.0,0.0,0.0,40.0,16.0,6.0,34.0,9.677,23.81,0.0,40.0,60.0,30.0,10.0,30.0,10.0,40.0,0.0,0.0,35.294,32.0,26.0
meta-llama-3-8b-instruct,44.0,0.0,26.0,0.0,0.0,12.0,8.0,8.0,26.0,0.0,19.048,0.0,10.0,10.0,20.0,0.0,30.0,10.0,0.0,0.0,0.0,17.647,20.0,26.0
mistral-7b-instruct-v0.2,50.0,1.887,10.0,0.0,0.0,0.0,16.0,22.0,18.0,0.0,14.286,0.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,0.0,0.0,11.765,8.0,4.0
phi-3-mini-128k-instruct,56.0,2.07,22.0,0.0,6.667,8.0,20.0,56.0,18.0,0.0,0.0,0.0,10.0,70.0,40.0,10.0,30.0,10.0,50.0,0.0,0.0,17.647,8.0,8.0
phi-3-mini-4k-instruct,42.0,0.0,2.0,0.0,6.667,8.0,20.0,30.0,22.0,0.0,0.0,0.0,10.0,50.0,30.0,0.0,30.0,10.0,30.0,0.0,10.0,29.412,16.0,20.0
qwen1.5-0.5b-chat,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qwen1.5-1.8b-chat,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen1.5-4b-chat,18.0,3.384,6.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,5.882,0.0,6.0
qwen1.5-72b-chat,52.0,10.934,36.0,0.0,0.0,20.0,28.0,34.0,30.0,3.226,19.048,0.0,10.0,60.0,30.0,0.0,30.0,10.0,20.0,0.0,30.0,29.412,8.0,8.0
qwen1.5-7b-chat,48.0,2.697,4.0,0.0,0.0,0.0,0.0,20.0,8.0,0.0,9.524,0.0,0.0,30.0,40.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,4.0,20.0
starling-lm-7b-beta,60.0,0.0,6.0,0.0,0.0,8.0,16.0,42.0,26.0,0.0,19.048,0.0,0.0,20.0,30.0,0.0,10.0,10.0,10.0,0.0,10.0,11.765,16.0,12.0
vicuna-7b-v1.5,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.226,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
vicuna-7b-v1.5-16k,16.0,1.8,6.0,0.0,0.0,0.0,0.0,2.0,0.0,9.677,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
yi-6b-chat,42.0,1.155,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.226,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
zephyr-7b-alpha,50.0,4.199,12.0,0.0,0.0,4.0,12.0,14.0,20.0,3.226,14.286,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,5.882,14.0,16.0
zephyr-7b-beta,44.0,1.244,14.0,0.0,0.0,12.0,28.0,18.0,14.0,0.0,19.048,0.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,0.0,5.882,16.0,16.0
