model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
chatgpt-4o-latest,48.0,42.0,50.0,51.333,60.0,44.792,63.783,68.633,42.531,70.1,79.917,71.417,45.3,58.0,56.0,68.0,46.0
claude-3-5-sonnet-20240620,49.0,58.0,68.421,49.667,62.0,44.792,67.458,72.217,55.144,73.767,74.333,68.883,40.22,68.0,66.0,80.0,48.0
claude-3-haiku-20240307,12.0,28.0,21.053,18.5,50.0,19.792,45.378,63.517,23.72,65.1,57.917,69.583,12.62,62.0,48.0,20.0,32.0
claude-3-opus-20240229,38.0,38.0,42.105,37.0,58.0,41.667,59.962,69.383,50.162,72.55,71.083,70.483,40.96,64.0,68.0,48.0,34.0
claude-3-sonnet-20240229,21.0,32.0,18.421,26.167,56.0,17.708,50.237,65.817,34.083,64.55,62.417,67.233,15.68,62.0,54.0,16.0,36.0
command-r,3.0,22.0,7.895,7.667,48.0,17.708,30.039,59.85,14.266,53.833,63.5,51.467,9.08,38.0,22.0,18.0,38.0
command-r-plus,10.0,30.0,10.526,22.333,38.0,18.75,45.81,70.217,25.432,72.633,80.833,62.35,11.8,24.0,24.0,18.0,46.0
deepseek-chat-v2,41.0,42.0,42.105,28.5,48.0,51.042,64.292,62.933,31.805,62.317,71.333,61.867,28.76,60.0,38.0,52.0,30.0
deepseek-coder-v2,43.0,40.0,42.105,25.833,46.0,50.0,64.607,66.183,31.299,62.517,75.333,64.7,30.76,38.0,42.0,56.0,42.0
deepseek-coder-v2-lite-instruct,33.0,30.0,23.684,0.5,38.0,33.333,36.98,52.85,11.406,44.2,58.25,38.05,9.0,52.0,20.0,24.0,20.0
deepseek-v2-lite-chat,7.0,12.0,5.263,2.0,34.0,9.375,25.854,47.7,9.613,38.983,49.917,30.717,0.56,20.0,16.0,14.0,12.0
dracarys-72b-instruct,34.0,40.0,42.105,31.0,48.0,36.458,57.852,67.267,32.507,60.567,80.583,63.917,10.72,20.0,30.0,48.0,34.0
dracarys-llama-3.1-70b-instruct,37.0,38.0,34.211,38.667,50.0,43.75,56.283,79.517,40.634,76.55,77.5,75.917,27.96,66.0,46.0,66.0,34.0
gemini-1.5-flash-api-0514,30.0,36.0,42.105,16.667,54.0,25.0,61.675,66.1,29.409,66.767,63.667,55.517,24.08,54.0,46.0,22.0,38.0
