model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,temporal,typos,zebra_puzzle
amazon.nova-lite-v1:0,50.0,16.0,10.0,19.0,34.0,29.167,24.681,57.1,19.859,53.617,30.0,49.683,56.117,29.68,48.0,28.0,44.0,26.0
amazon.nova-micro-v1:0,48.0,18.0,4.0,11.0,46.0,32.292,21.711,41.2,13.575,48.167,24.0,54.8,48.0,9.84,46.0,26.0,48.0,25.25
amazon.nova-pro-v1:0,45.0,38.0,18.0,23.833,54.0,39.583,28.783,70.133,28.972,71.867,22.0,66.083,60.433,28.92,62.0,30.0,64.0,27.75
claude-3-5-haiku-20241022,42.0,42.0,14.0,26.167,54.0,38.542,23.98,59.217,24.955,70.65,40.0,59.0,58.65,27.36,64.0,46.0,68.0,22.25
claude-3-5-sonnet-20241022,53.0,42.0,26.0,43.167,64.0,40.625,58.005,66.8,50.264,72.667,58.0,68.667,69.05,37.1,64.0,52.0,70.0,44.0
claude-3-opus-20240229,42.0,32.0,20.0,33.0,58.0,35.417,50.592,63.95,45.722,70.733,42.0,61.217,59.65,41.68,74.0,44.0,82.0,29.75
dracarys2-72b-instruct,67.0,38.0,24.0,27.833,52.0,45.833,43.87,64.05,29.342,66.025,40.0,66.125,64.667,40.54,74.0,32.0,42.0,38.125
gemini-2.0-flash-thinking-exp-01-21,83.0,52.0,28.0,48.833,56.0,82.292,58.667,81.683,36.447,81.783,68.0,89.333,77.083,62.1,90.0,62.0,60.0,70.5
gemini-exp-1206,81.0,42.0,42.0,37.667,66.0,63.542,66.282,83.2,46.687,75.483,56.0,77.667,73.0,51.48,72.0,58.0,76.0,39.0
gpt-4o-2024-08-06,57.0,42.0,42.0,37.667,58.0,38.542,41.632,66.883,37.237,70.883,56.0,66.383,70.183,52.74,72.0,40.0,62.0,39.75
gpt-4o-mini-2024-07-18,55.0,40.0,28.0,16.5,58.0,36.458,22.682,57.35,19.138,60.733,32.0,56.133,52.983,19.88,72.0,32.0,54.0,28.25
grok-2-1212,67.0,32.0,26.0,33.0,56.0,50.0,50.762,67.85,36.375,73.917,38.0,67.3,69.433,35.34,72.0,50.0,68.0,40.5
grok-beta,57.0,38.0,22.0,35.5,54.0,39.583,43.027,70.467,36.072,70.833,28.0,70.417,66.767,32.82,76.0,40.0,68.0,33.0
llama-3.3-70b-instruct-turbo,53.0,34.0,24.0,36.667,50.0,39.583,32.043,78.2,35.23,82.517,38.0,84.883,85.083,28.46,70.0,52.0,60.0,32.25
meta-llama-3.1-405b-instruct-turbo,49.0,38.0,28.0,31.0,60.0,40.845,31.449,76.817,41.754,82.333,46.0,74.167,70.3,37.54,70.0,52.0,58.0,33.75
meta-llama-3.1-70b-instruct-turbo,41.0,32.0,16.0,20.833,52.0,28.873,27.743,72.767,36.227,73.367,36.0,63.75,66.05,31.26,78.0,46.0,58.0,19.0
mistral-large-2411,43.0,34.0,34.0,28.833,52.0,31.25,52.357,69.883,36.527,68.2,32.0,70.333,63.3,30.46,68.0,38.0,56.0,34.5
o1-2024-12-17,87.0,72.0,62.0,97.0,70.0,86.458,64.385,82.9,47.458,81.233,86.0,82.883,79.167,60.4,66.0,48.0,72.0,88.75
o1-mini-2024-09-12,81.0,74.0,30.0,59.333,64.0,71.875,27.894,66.6,18.66,73.0,50.0,63.0,59.0,47.76,62.0,38.0,56.0,67.0
qwen2.5-72b-instruct-turbo,64.0,34.0,20.0,29.833,54.0,48.958,42.628,65.517,31.564,62.15,34.0,62.75,67.15,37.72,64.0,36.0,48.0,36.25
qwq-32b-preview,75.5,50.0,12.0,22.583,43.0,50.0,37.413,36.783,19.533,33.017,44.0,35.967,36.583,13.85,38.0,16.0,28.0,37.125
