model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v3,zebra_puzzle
amazon.nova-lite-v1:0,50.0,13.333,17.143,19.0,34.0,29.167,24.681,57.1,19.859,53.617,30.0,49.683,56.117,29.68,48.0,44.0,40.0,26.0
amazon.nova-micro-v1:0,48.0,8.0,4.286,11.0,46.0,32.292,22.15,41.2,13.575,48.167,24.0,54.8,48.0,9.84,46.0,48.0,27.0,25.25
amazon.nova-pro-v1:0,45.0,20.0,20.0,23.833,54.0,39.583,28.505,70.133,28.972,71.867,22.0,66.083,60.433,28.92,62.0,64.0,35.0,27.75
claude-3-5-haiku-20241022,42.0,24.0,15.714,26.167,54.0,38.542,23.98,59.217,24.955,70.65,40.0,59.0,58.65,27.36,64.0,68.0,16.333,22.25
claude-3-5-sonnet-20241022,53.0,36.0,28.571,43.167,64.0,40.625,58.005,66.8,50.264,72.667,58.0,68.667,69.05,37.1,64.0,70.0,27.667,44.0
claude-3-7-sonnet,68.0,32.0,32.857,55.833,66.0,57.292,68.669,77.883,53.749,75.533,54.0,79.833,72.717,46.1,78.0,80.0,43.333,50.0
claude-3-7-sonnet-thinking,84.0,49.333,40.0,71.333,66.0,81.25,71.747,85.683,55.475,79.75,82.0,81.333,78.25,70.16,86.0,78.0,65.0,81.5
claude-3-opus-20240229,42.0,26.667,20.0,33.0,58.0,35.417,51.358,63.95,45.722,70.733,42.0,61.217,59.65,41.68,74.0,82.0,24.333,29.75
deepseek-r1,88.0,49.333,38.571,64.333,66.0,85.417,65.597,80.6,37.691,82.883,74.0,85.583,72.967,55.34,88.0,56.0,80.333,75.5
deepseek-r1-distill-llama-70b,65.0,54.667,38.571,35.167,54.0,80.208,31.198,70.217,25.984,71.883,54.0,72.167,65.483,31.8,82.0,50.0,70.667,54.75
deepseek-v3-0324,82.0,45.333,35.714,44.167,60.0,75.0,57.31,86.783,42.301,77.55,48.0,77.167,84.383,33.1,88.0,54.0,35.333,49.5
gemini-2.0-flash-lite,70.0,25.333,21.429,25.167,64.0,54.167,40.733,78.45,24.656,76.317,38.0,73.25,78.5,38.34,94.0,52.0,24.0,34.75
gemini-2.0-flash-thinking-exp-01-21,83.0,40.0,31.429,48.833,56.0,82.292,59.14,81.683,36.447,81.783,68.0,89.333,77.083,62.1,90.0,60.0,46.0,70.5
gemini-2.0-pro-exp-02-05,80.0,30.667,40.0,35.833,62.0,62.5,63.107,82.75,47.66,80.533,52.0,83.667,86.583,52.06,90.0,74.0,89.0,44.25
gemini-2.5-pro-exp-03-25,87.0,53.333,62.857,81.833,76.0,92.708,87.762,80.95,60.109,81.583,88.0,81.583,78.25,69.68,94.0,66.0,91.333,83.25
gemma-3-27b-it,74.0,28.0,22.857,27.333,52.0,55.208,27.593,71.5,28.61,77.533,36.0,70.583,80.0,8.34,94.0,68.0,38.0,29.25
gpt-4o-2024-08-06,57.0,29.333,34.286,37.667,58.0,38.542,41.632,66.883,37.237,70.883,56.0,66.383,70.183,52.74,72.0,62.0,32.0,39.75
gpt-4o-2024-11-20,50.0,34.667,35.714,36.667,58.0,42.708,31.725,62.667,35.382,67.75,48.0,66.25,63.1,44.46,66.0,62.0,24.0,47.25
gpt-4o-mini-2024-07-18,55.0,26.667,24.286,16.5,58.0,36.458,22.682,57.35,19.138,60.733,32.0,56.133,52.983,19.88,72.0,54.0,16.667,28.25
learnlm-1.5-pro-experimental,67.0,33.333,31.429,33.5,56.0,46.875,56.25,70.3,38.093,70.533,34.0,64.633,67.167,36.9,72.0,42.0,38.333,32.25
meta-llama-3.1-405b-instruct-turbo,49.0,33.333,24.286,31.0,60.0,40.845,31.618,76.817,41.754,82.333,46.0,74.167,70.3,37.54,70.0,58.0,42.0,33.75
meta-llama-3.1-8b-instruct-turbo,21.0,10.667,11.429,4.5,42.0,9.859,14.377,57.05,12.788,61.417,18.0,51.05,50.1,4.46,52.0,46.0,16.333,10.0
mistral-large-2411,43.0,25.333,28.571,28.833,52.0,31.25,52.357,69.883,36.527,68.2,32.0,70.333,63.3,30.46,68.0,56.0,35.0,34.5
mistral-small-2503,38.0,24.0,18.571,23.0,48.0,37.5,39.677,62.417,26.758,67.967,42.0,61.417,62.85,31.62,72.0,54.0,35.0,34.25
o1-2024-12-17-high,87.0,60.0,54.286,97.0,70.0,86.458,64.385,82.9,47.458,81.233,86.0,82.883,79.167,60.4,66.0,72.0,57.667,88.75
o3-mini-2025-01-31-high,88.0,66.667,64.286,79.5,68.0,89.583,52.08,82.5,23.066,84.85,82.0,90.167,79.917,65.92,78.0,68.0,54.333,86.75
o3-mini-2025-01-31-low,86.0,58.667,42.857,64.833,60.0,73.958,25.066,78.583,15.379,78.417,64.0,87.417,75.833,52.12,74.0,64.0,38.333,65.5
o3-mini-2025-01-31-medium,86.0,64.0,52.857,79.833,64.0,86.458,42.568,79.85,16.519,83.533,80.0,91.583,77.667,59.68,76.0,66.0,46.0,81.0
qwen2.5-72b-instruct-turbo,64.0,24.0,18.571,30.333,54.0,48.958,42.673,65.517,31.564,62.15,34.0,62.75,67.15,37.72,64.0,48.0,32.0,36.25
qwen2.5-7b-instruct-turbo,52.667,12.0,10.0,11.917,46.0,34.375,23.4,50.6,13.641,61.917,28.0,54.55,41.367,7.66,52.0,28.0,21.667,17.25
qwen2.5-max,66.0,33.333,34.286,53.167,58.0,48.958,55.647,76.633,45.941,69.583,44.0,77.417,77.75,53.78,92.0,76.0,29.333,42.25
qwq-32b,87.0,56.0,30.0,68.167,58.0,86.458,54.793,85.3,28.277,82.383,82.0,77.383,82.25,59.1,78.0,58.0,69.667,78.5
step-2-16k-202411,53.333,29.333,32.857,31.5,56.0,35.417,42.3,84.4,33.715,80.85,44.0,80.633,73.65,53.16,82.0,50.0,48.667,34.5
