model,AMPS_Hard,code_completion,code_generation,connections,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v3,zebra_puzzle
amazon.nova-lite-v1:0,50.0,47.826,42.254,19.0,29.167,24.681,57.1,19.859,53.617,30.0,49.683,56.117,21.692,60.784,44.0,40.0,26.0
amazon.nova-micro-v1:0,48.0,28.261,29.577,11.0,32.292,22.15,41.2,13.575,48.167,24.0,54.8,48.0,13.962,68.627,48.0,27.0,25.25
amazon.nova-pro-v1:0,45.0,50.0,49.296,23.833,39.583,28.505,70.133,28.972,71.867,22.0,66.083,60.433,25.942,62.745,64.0,35.0,27.75
chatgpt-4o-latest-2025-03-27,74.0,76.087,78.873,37.333,63.542,29.609,72.967,40.952,76.217,54.0,73.833,64.667,35.0,98.039,70.0,41.667,50.75
claude-3-5-haiku-20241022,42.0,50.0,56.338,26.167,38.542,23.98,59.217,24.955,70.65,40.0,59.0,58.65,25.885,82.353,68.0,16.333,22.25
claude-3-5-sonnet-20241022,53.0,71.739,76.056,43.167,40.625,58.005,66.8,50.264,72.667,58.0,68.667,69.05,31.981,80.392,70.0,27.667,44.0
claude-3-7-sonnet-20250219-base,68.0,73.913,74.648,55.833,57.292,68.669,77.883,53.749,75.533,54.0,79.833,72.717,33.654,86.275,80.0,43.333,50.0
claude-3-7-sonnet-20250219-thinking-64k,84.0,71.739,74.648,71.333,81.25,71.747,85.683,55.475,79.75,82.0,81.333,78.25,42.135,96.078,78.0,65.0,81.5
command-r-08-2024,15.0,28.261,23.944,12.0,15.625,24.427,60.217,17.8,59.033,28.0,54.217,49.0,14.827,64.706,54.0,14.0,19.75
command-r-plus-08-2024,21.0,26.087,28.169,20.0,25.0,22.446,55.833,22.582,61.633,26.0,64.25,48.733,18.077,80.392,50.0,18.667,20.25
deepseek-r1,84.0,73.913,76.056,67.5,84.375,65.355,80.6,38.812,82.883,76.0,85.583,72.967,39.25,100.0,58.0,80.0,75.5
deepseek-r1-distill-llama-70b,65.0,36.957,56.338,35.167,80.208,31.198,70.217,25.984,71.883,54.0,72.167,65.483,31.423,90.196,50.0,70.667,54.75
deepseek-r1-distill-qwen-32b,68.0,39.13,53.521,25.833,73.944,38.451,52.217,16.912,56.458,36.0,59.067,55.108,31.135,62.745,50.0,42.333,54.75
deepseek-v3-0324,82.0,67.391,70.423,44.167,75.0,57.31,86.783,42.301,77.55,48.0,77.167,84.383,28.038,100.0,54.0,35.333,49.5
dracarys2-72b-instruct,67.0,69.565,47.887,27.833,45.833,43.918,64.05,29.342,66.025,40.0,66.125,64.667,26.365,70.588,42.0,34.333,38.125
gemini-2.0-flash-lite-001,70.0,60.87,57.746,25.167,54.167,40.733,78.45,24.656,76.317,38.0,73.25,78.5,34.692,96.078,52.0,24.0,34.75
gemini-2.5-flash-preview-04-17,84.0,58.696,61.972,58.0,89.583,71.822,76.917,54.297,83.083,72.0,78.833,77.25,34.981,96.078,66.0,73.667,74.75
gemini-2.5-pro-preview-03-25,87.0,71.739,70.423,81.833,92.708,87.762,80.95,60.109,81.583,88.0,81.583,78.25,40.635,84.314,66.0,91.333,83.25
gemma-3-27b-it,74.0,50.0,47.887,27.333,55.208,27.593,71.5,28.61,77.533,36.0,70.583,80.0,18.769,58.824,68.0,38.0,29.25
gpt-4.1-2025-04-14,81.0,71.739,74.648,54.833,69.792,36.367,77.117,42.82,80.433,44.0,81.25,69.383,34.769,98.039,66.0,44.667,44.5
gpt-4.1-mini-2025-04-14,80.0,69.565,74.648,32.333,62.5,33.836,70.133,27.655,72.433,60.0,72.417,66.25,28.558,94.118,54.0,53.333,48.0
gpt-4.1-nano-2025-04-14,73.0,63.043,63.38,26.167,37.5,16.673,62.283,12.707,57.983,44.0,56.383,53.5,11.404,88.235,54.0,34.0,28.75
gpt-4.5-preview-2025-02-27,81.0,76.087,76.056,70.167,66.667,56.154,72.333,48.109,73.917,58.0,78.417,64.633,31.904,88.235,76.0,44.0,61.25
gpt-4o-2024-11-20,50.0,69.565,69.014,36.667,42.708,31.725,62.667,35.382,67.75,48.0,66.25,63.1,30.981,96.078,62.0,24.0,47.25
gpt-4o-mini-2024-07-18,55.0,56.522,53.521,16.5,36.458,22.682,57.35,19.138,60.733,32.0,56.133,52.983,23.923,86.275,54.0,16.667,28.25
grok-3-beta,73.0,73.913,73.239,54.167,58.333,56.924,84.817,45.223,86.217,48.0,85.5,82.417,32.827,78.431,62.0,35.333,62.25
grok-3-mini-beta-high,80.0,45.652,63.38,65.833,92.708,58.306,79.217,47.429,79.633,80.0,79.917,76.05,35.038,94.118,64.0,93.333,89.5
hunyuan-turbos-20250313,75.0,50.0,50.704,18.0,55.208,42.191,83.2,21.374,70.4,40.0,71.833,79.083,23.423,72.549,64.0,44.667,30.0
learnlm-1.5-pro-experimental,67.0,58.696,59.155,33.5,46.875,56.25,70.3,38.093,70.533,34.0,64.633,67.167,25.654,52.941,42.0,38.333,32.25
learnlm-2.0-flash-experimental,80.0,65.217,63.38,27.167,58.333,44.972,86.983,34.865,82.217,42.0,84.667,81.167,32.25,70.588,68.0,35.667,41.5
llama-3.3-70b-instruct-turbo,53.0,54.348,49.296,36.667,39.583,31.629,78.2,35.23,82.517,38.0,84.883,85.083,22.75,58.824,60.0,27.333,32.25
llama4-maverick-instruct-basic,77.0,47.826,60.563,52.333,56.25,48.487,78.083,34.61,76.8,42.0,77.133,70.967,31.481,62.745,62.0,40.0,49.5
mistral-large-2411,43.0,65.217,60.563,28.833,31.25,52.357,69.883,36.527,68.2,32.0,70.333,63.3,26.038,82.353,56.0,35.0,34.5
mistral-small-2503,38.0,50.0,49.296,23.0,37.5,39.677,62.417,26.758,67.967,42.0,61.417,62.85,27.808,76.471,54.0,35.0,34.25
o3-2025-04-16-high,79.0,71.739,81.69,97.0,93.75,82.261,85.933,50.988,89.433,100.0,84.083,85.25,37.962,96.078,80.0,93.0,87.0
o3-2025-04-16-medium,71.0,78.261,77.465,97.0,89.583,81.389,87.267,45.444,87.433,98.0,82.583,80.0,38.346,98.039,78.0,85.0,90.0
o4-mini-2025-04-16-high,83.0,78.261,81.69,97.5,96.875,74.811,82.833,34.664,88.417,96.0,84.583,84.0,40.577,96.078,66.0,81.333,87.0
o4-mini-2025-04-16-medium,84.0,69.565,78.873,87.0,92.708,66.352,80.483,28.227,86.067,86.0,85.5,75.25,38.904,98.039,72.0,67.667,81.75
qwen2.5-72b-instruct-turbo,64.0,65.217,49.296,29.833,48.958,42.673,65.517,31.564,62.15,34.0,62.75,67.15,27.769,72.549,48.0,32.0,36.25
qwen2.5-7b-instruct-turbo,52.667,34.783,33.803,13.5,34.375,23.4,50.6,13.641,61.917,28.0,54.55,41.367,10.154,74.51,28.0,21.667,17.25
qwen2.5-max,66.0,67.391,66.197,53.167,48.958,55.647,76.633,45.941,69.583,44.0,77.417,77.75,36.385,92.157,76.0,29.333,42.25
qwen3-30b-a3b-thinking,86.0,45.652,49.296,73.5,82.292,48.314,82.8,31.228,84.65,82.0,81.917,83.567,37.115,96.078,62.0,47.0,71.5
qwen3-32b-thinking,83.0,60.87,67.606,59.833,79.167,64.582,87.2,37.627,84.017,78.0,86.667,82.8,38.538,98.039,68.0,78.0,77.25
qwq-32b,87.0,56.522,66.197,68.167,86.458,54.793,85.3,28.277,82.383,82.0,77.383,82.25,41.019,98.039,58.0,69.667,78.5
qwen3-235b-a22b-thinking,86.0,63.043,67.606,88.5,86.458,63.875,88.367,37.327,89.25,88.0,89.333,83.967,40.538,96.078,56.0,68.333,79.5
dracarys2-llama-3.1-70b-instruct,52.0,45.652,36.62,30.167,33.333,35.565,66.717,34.934,67.817,38.0,60.883,57.55,25.942,84.314,62.0,40.0,32.0
gemini-2.0-flash-001,84.0,71.739,57.746,23.0,62.5,43.066,85.533,38.161,84.45,50.0,85.25,87.917,31.596,88.235,66.0,41.0,41.75
step-2-16k-202411,53.333,63.043,52.113,31.5,35.417,42.3,84.4,33.715,80.85,44.0,80.633,73.65,32.538,92.157,50.0,48.667,34.5
gemini-2.5-pro-preview-05-06,89.0,73.913,71.831,80.333,92.708,84.177,82.1,59.101,84.167,80.0,86.417,81.333,45.538,92.157,76.0,91.0,93.75
phi-4-reasoning-plus,84.0,52.174,69.014,33.667,90.625,13.873,71.833,18.41,75.417,68.0,75.833,69.583,25.173,84.314,40.0,51.0,54.5
mistral-medium-2505,65.0,65.217,57.746,38.667,64.583,49.643,69.383,37.564,77.683,48.0,73.417,65.1,24.327,96.078,58.0,36.667,41.25
gemini-2.5-flash-preview-05-20,88.0,60.87,64.789,49.167,87.5,76.81,78.45,51.949,84.283,80.0,81.667,73.833,41.654,98.039,70.0,83.333,72.25
