model,AMPS_Hard,agentic_coding_js,agentic_coding_python,code_completion,code_generation,connections,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v3,zebra_puzzle
claude-3-5-sonnet-20241022,53.0,10.0,40.0,71.739,76.056,43.167,40.625,58.005,66.8,50.264,72.667,58.0,68.667,69.05,31.981,80.392,70.0,27.667,44.0
claude-3-7-sonnet-20250219-base,68.0,10.0,60.0,73.913,74.648,55.833,57.292,68.669,77.883,53.749,75.533,54.0,79.833,72.717,33.654,86.275,80.0,43.333,50.0
claude-3-7-sonnet-20250219-thinking-64k,84.0,20.0,40.0,71.739,74.648,71.333,81.25,71.747,85.683,55.475,79.75,82.0,81.333,78.25,42.135,96.078,78.0,65.0,81.5
deepseek-r1,84.0,20.0,50.0,73.913,76.056,67.5,84.375,65.355,80.6,38.812,82.883,76.0,85.583,72.967,39.25,100.0,58.0,80.0,75.5
deepseek-v3-0324,82.0,10.0,20.0,67.391,70.423,44.167,75.0,57.31,86.783,42.301,77.55,48.0,77.167,84.383,28.038,100.0,54.0,35.333,49.5
gemini-2.5-pro-preview-05-06,89.0,20.0,50.0,73.913,71.831,80.333,92.708,84.177,82.1,59.101,84.167,80.0,86.417,81.333,45.538,92.157,76.0,91.0,93.75
gpt-4.1-2025-04-14,81.0,20.0,50.0,71.739,74.648,54.833,69.792,36.367,77.117,42.82,80.433,44.0,81.25,69.383,34.769,98.039,66.0,44.667,44.5
grok-3-beta,73.0,20.0,30.0,73.913,73.239,54.167,58.333,56.924,84.817,45.223,86.217,48.0,85.5,82.417,32.827,78.431,62.0,35.333,62.25
o3-2025-04-16-high,79.0,20.0,60.0,71.739,81.69,97.0,93.75,82.261,85.933,50.988,89.433,100.0,84.083,85.25,37.962,96.078,80.0,93.0,87.0
o4-mini-2025-04-16-high,83.0,0.0,60.0,78.261,81.69,97.5,96.875,74.811,82.833,34.664,88.417,96.0,84.583,84.0,40.577,96.078,66.0,81.333,87.0
grok-3-mini-beta-high,80.0,10.0,20.0,45.652,63.38,65.833,92.708,58.306,79.217,47.429,79.633,80.0,79.917,76.05,35.038,94.118,64.0,93.333,89.5
