model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,house_traversal,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
claude-3-haiku-20240307,12.0,28.0,21.053,18.5,50.0,40.0,19.792,45.378,63.517,23.72,65.1,57.917,69.583,12.62,62.0,48.0,20.0,32.0
claude-3-opus-20240229,38.0,38.0,42.105,37.0,58.0,62.0,41.667,59.962,69.383,50.162,72.55,71.083,70.483,40.96,64.0,68.0,48.0,34.0
claude-3-sonnet-20240229,21.0,32.0,18.421,26.167,56.0,50.0,17.708,50.237,65.817,34.083,64.55,62.417,67.233,15.68,62.0,54.0,14.0,36.0
command-r,3.0,22.0,7.895,7.667,48.0,18.0,17.708,30.039,59.85,14.266,53.833,63.5,51.467,9.08,38.0,22.0,18.0,38.0
command-r-plus,10.0,30.0,10.526,22.333,38.0,40.0,18.75,45.81,70.217,25.432,72.633,80.833,62.35,11.8,24.0,24.0,16.0,46.0
gemini-1.5-pro-latest,34.0,34.0,31.579,18.833,54.0,50.0,35.417,56.799,69.267,39.922,71.05,64.667,63.8,38.42,66.0,56.0,10.0,24.0
gpt-3.5-turbo-0125,23.0,32.0,26.316,13.333,50.0,32.0,9.375,44.258,65.767,17.316,57.033,67.083,51.983,19.64,54.0,42.0,18.0,34.0
gpt-3.5-turbo-1106,17.0,30.0,23.684,21.833,50.0,30.0,19.792,46.559,53.967,20.054,57.367,52.167,42.633,17.1,58.0,44.0,20.0,36.0
gpt-4-0125-preview,37.0,46.0,42.105,43.167,56.0,26.0,36.458,54.79,60.1,43.493,61.317,68.583,65.683,36.18,70.0,44.0,52.0,44.0
gpt-4-1106-preview,41.0,44.0,44.737,39.667,56.0,24.0,37.5,64.162,70.55,45.433,61.9,70.75,74.367,28.0,70.0,60.0,64.0,40.0
gpt-4-turbo-2024-04-09,42.0,52.0,42.105,44.167,54.0,60.0,44.792,60.185,63.8,39.619,74.233,79.917,67.6,35.96,64.0,52.0,70.0,38.0
gpt-4o-2024-05-13,45.0,48.0,44.737,53.0,64.0,34.0,39.583,65.059,70.8,42.806,69.6,73.667,74.617,29.22,64.0,66.0,70.0,40.0
llama-2-7b-chat-hf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.352,55.117,10.576,40.267,46.083,38.067,0.0,0.0,10.0,0.0,10.0
meta-llama-3-70b-instruct,22.0,34.0,7.895,31.167,54.0,6.0,20.833,54.112,57.883,31.154,67.133,69.75,59.25,25.24,48.0,40.0,32.0,30.0
meta-llama-3-8b-instruct,8.0,26.0,10.526,20.333,44.0,8.0,8.333,36.41,61.883,15.823,56.167,56.25,54.267,0.0,26.0,20.0,20.0,30.0
mistral-7b-instruct-v0.2,7.0,18.0,5.263,6.167,32.0,22.0,6.25,34.873,54.517,12.998,41.917,58.417,51.75,1.86,10.0,8.0,8.0,18.0
mistral-large-2402,22.0,30.0,28.947,28.333,48.0,46.0,28.125,46.487,63.35,33.899,67.267,72.917,69.233,15.66,64.0,24.0,30.0,40.0
mistral-small-2402,16.0,30.0,18.421,21.667,44.0,32.0,22.917,41.355,62.067,26.499,59.15,70.667,63.75,7.64,44.0,18.0,24.0,26.0
mixtral-8x22b-instruct-v0.1,27.0,32.0,34.211,25.167,44.0,32.0,10.417,43.415,53.517,28.266,66.867,68.667,63.617,19.0,28.0,26.0,24.0,34.0
mixtral-8x7b-instruct-v0.1,16.0,20.0,2.632,15.0,52.0,36.0,10.417,30.503,46.3,16.284,42.75,51.083,39.1,2.38,30.0,10.0,14.0,20.0
