model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
amazon.nova-lite-v1:0,48.0,26.923,28.0,19.0,34.0,19.792,24.681,57.1,20.793,53.617,30.0,49.683,56.117,29.14,42.0,38.0,48.0,26.0
amazon.nova-micro-v1:0,47.0,24.359,16.0,11.0,46.0,32.292,21.711,41.2,16.337,48.167,24.0,54.8,48.0,9.84,40.0,20.0,26.0,25.25
amazon.nova-pro-v1:0,49.0,42.308,32.0,23.833,54.0,39.583,28.783,70.133,33.062,71.867,22.0,66.083,60.433,24.9,52.0,54.0,48.0,27.75
chatgpt-4o-latest-0903,53.0,44.872,50.0,37.333,60.0,43.75,29.609,66.967,44.581,66.65,48.0,71.667,60.183,28.12,58.0,54.0,64.0,39.5
claude-3-5-haiku-20241022,42.0,48.718,54.0,26.167,54.0,40.625,23.98,59.217,33.938,70.65,40.0,59.0,58.65,19.18,54.0,46.0,22.0,22.25
claude-3-5-sonnet-20240620,52.0,57.692,64.0,38.5,62.0,43.75,64.221,67.933,55.144,69.35,48.0,70.0,64.767,40.22,68.0,66.0,80.0,43.5
claude-3-5-sonnet-20241022,50.0,60.256,74.0,43.167,64.0,45.833,58.005,66.8,54.113,72.667,58.0,68.667,69.05,36.34,58.0,64.0,68.0,44.0
claude-3-haiku-20240307,19.0,26.923,22.0,15.667,50.0,25.0,24.81,52.917,23.72,62.583,36.0,55.333,50.45,12.62,62.0,48.0,20.0,21.75
claude-3-opus-20240229,42.0,37.179,40.0,33.0,58.0,37.5,50.592,63.95,50.162,70.733,42.0,61.217,59.65,40.96,64.0,68.0,48.0,29.5
command-r-08-2024,15.0,21.795,14.0,12.0,46.0,18.75,24.685,60.217,18.158,59.033,28.0,54.217,49.0,6.02,42.0,20.0,18.0,17.0
command-r-plus-04-2024,8.0,26.923,12.0,9.667,38.0,19.792,22.493,55.0,25.432,68.25,22.0,60.883,53.733,11.8,24.0,24.0,18.0,19.5
command-r-plus-08-2024,21.0,26.282,12.0,20.0,44.0,20.833,16.207,55.833,25.186,61.633,26.0,64.25,48.733,11.76,52.0,44.0,28.0,20.25
dracarys2-72b-instruct,63.0,51.282,62.0,27.667,52.0,46.875,41.862,64.5,34.77,64.533,36.0,65.583,66.267,37.42,58.0,38.0,60.0,41.5
gemini-1.5-flash-001,34.0,34.615,34.0,19.333,54.0,27.083,35.73,54.467,29.409,62.417,28.0,47.183,46.233,24.08,54.0,46.0,22.0,24.75
