model,AMPS_Hard,code_completion,code_generation,connections,javascript,math_comp,olympiad,paraphrase,plot_unscrambling,python,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typescript,typos,web_of_lies_v3,zebra_puzzle
chatgpt-4o-latest-2025-03-27,74.0,76.087,78.873,37.333,5.0,63.542,29.609,72.967,40.952,35.0,76.217,54.0,73.833,64.667,35.0,98.039,0.0,70.0,41.667,50.75
claude-3-5-haiku-20241022,42.0,50.0,56.338,26.167,0.0,38.542,23.98,59.217,24.955,20.0,70.65,40.0,59.0,58.65,25.885,82.353,0.0,68.0,16.333,22.25
claude-3-5-sonnet-20241022,53.0,71.739,76.056,43.167,5.0,40.625,58.005,66.8,50.264,35.0,72.667,58.0,68.667,69.05,31.981,80.392,5.0,70.0,27.667,44.0
claude-3-7-sonnet-20250219-base,68.0,73.913,74.648,55.833,15.0,57.292,68.669,77.883,53.749,45.0,75.533,54.0,79.833,72.717,33.654,86.275,5.0,80.0,43.333,50.0
claude-3-7-sonnet-20250219-thinking-64k,84.0,71.739,74.648,71.333,15.0,81.25,71.747,85.683,55.475,45.0,79.75,82.0,81.333,78.25,42.135,96.078,15.0,78.0,65.0,81.5
claude-4-opus-20250514-base,84.0,73.913,73.239,85.167,10.0,69.792,82.579,81.217,59.174,70.0,81.633,60.0,74.833,75.833,36.942,96.078,15.0,84.0,48.333,61.0
claude-4-opus-20250514-thinking-32k,87.0,76.087,70.423,92.667,15.0,90.625,87.117,82.417,60.497,70.0,81.55,86.0,80.25,78.75,43.423,98.039,15.0,68.0,93.667,91.75
claude-4-sonnet-20250514-base,84.0,80.435,76.056,63.333,0.0,68.75,76.421,75.717,54.209,70.0,77.3,60.0,78.833,77.133,35.25,94.118,5.0,84.0,46.333,58.25
claude-4-sonnet-20250514-thinking-64k,86.0,73.913,73.239,74.667,15.0,89.583,80.166,82.15,55.898,65.0,82.667,96.0,81.5,75.417,41.635,98.039,10.0,80.0,96.0,93.75
command-r-08-2024,15.0,28.261,23.944,12.0,0.0,15.625,24.427,60.217,17.8,5.0,59.033,28.0,54.217,49.0,14.827,64.706,0.0,54.0,14.0,19.75
command-r-plus-08-2024,21.0,26.087,28.169,20.0,0.0,25.0,22.446,55.833,22.582,5.0,61.633,26.0,64.25,48.733,18.077,80.392,0.0,50.0,18.667,20.25
deepseek-r1,84.0,76.087,76.056,67.5,5.0,84.375,65.355,80.6,38.812,50.0,82.883,76.0,85.583,72.967,39.25,100.0,5.0,58.0,80.0,75.5
deepseek-r1-0528,86.0,69.565,73.239,87.5,10.0,91.667,78.108,81.983,46.968,60.0,79.283,92.0,81.25,77.3,43.077,100.0,10.0,60.0,96.0,85.25
deepseek-r1-distill-llama-70b,65.0,36.957,56.338,35.167,0.0,80.208,31.198,70.217,25.984,20.0,71.883,54.0,72.167,65.483,31.423,90.196,0.0,50.0,70.667,54.75
deepseek-r1-distill-qwen-32b,68.0,39.13,54.93,25.833,0.0,73.944,38.451,52.217,16.912,15.0,56.458,36.0,59.067,55.108,31.135,62.745,0.0,50.0,42.333,54.75
deepseek-v3-0324,82.0,67.391,70.423,44.167,0.0,75.0,57.31,86.783,42.301,40.0,77.55,48.0,77.167,84.383,28.038,100.0,5.0,54.0,35.333,49.5
gemini-2.0-flash-lite-001,70.0,60.87,57.746,25.167,0.0,54.167,40.733,78.45,24.656,15.0,76.317,38.0,73.25,78.5,34.692,96.078,0.0,52.0,24.0,34.75
gemini-2.5-flash-preview-05-20,88.0,60.87,66.197,49.167,0.0,87.5,76.81,78.45,51.949,40.0,84.283,80.0,81.667,73.833,41.654,98.039,15.0,70.0,83.333,72.25
gemini-2.5-pro-preview-06-05-default,75.0,69.565,71.831,83.833,10.0,86.458,88.53,79.533,61.734,30.0,77.783,92.0,77.167,79.667,45.154,98.039,0.0,78.0,98.667,90.5
gemini-2.5-pro-preview-06-05-highthinking,74.0,71.739,76.056,87.333,10.0,92.708,85.872,80.617,62.987,35.0,77.967,98.0,76.333,74.5,44.962,98.039,15.0,76.0,98.333,86.5
gemma-3-27b-it,74.0,50.0,47.887,27.333,0.0,55.208,27.593,71.5,28.61,5.0,77.533,36.0,70.583,80.0,18.769,58.824,5.0,68.0,38.0,29.25
gpt-4.1-2025-04-14,81.0,71.739,74.648,54.833,5.0,69.792,36.367,77.117,42.82,35.0,80.433,44.0,81.25,69.383,34.769,98.039,0.0,66.0,44.667,44.5
gpt-4.1-mini-2025-04-14,80.0,69.565,74.648,32.333,0.0,62.5,33.836,70.133,27.655,15.0,72.433,60.0,72.417,66.25,28.558,94.118,5.0,54.0,53.333,48.0
gpt-4.1-nano-2025-04-14,73.0,63.043,64.789,26.167,0.0,37.5,16.673,62.283,12.707,5.0,57.983,44.0,56.383,53.5,11.404,88.235,5.0,54.0,34.0,28.75
gpt-4.5-preview-2025-02-27,81.0,76.087,76.056,70.167,5.0,66.667,56.154,72.333,48.109,35.0,73.917,58.0,78.417,64.633,31.904,88.235,5.0,76.0,44.0,61.25
gpt-4o-2024-11-20,50.0,69.565,69.014,36.667,0.0,42.708,31.725,62.667,35.382,20.0,67.75,48.0,66.25,63.1,30.981,96.078,5.0,62.0,24.0,47.25
grok-3-beta,73.0,73.913,73.239,54.167,0.0,58.333,56.924,84.817,45.223,35.0,86.217,48.0,85.5,82.417,32.827,78.431,5.0,62.0,35.333,62.25
grok-3-mini-beta-high,80.0,45.652,63.38,65.833,10.0,92.708,58.306,79.217,47.429,25.0,79.633,80.0,79.917,76.05,35.038,94.118,10.0,64.0,93.333,89.5
hunyuan-turbos-20250313,75.0,50.0,50.704,18.0,0.0,55.208,42.191,83.2,21.374,10.0,70.4,40.0,71.833,79.083,23.423,72.549,0.0,64.0,44.667,30.0
llama4-maverick-instruct-basic,77.0,47.826,60.563,52.333,5.0,56.25,48.487,78.083,34.61,5.0,76.8,42.0,77.133,70.967,31.481,62.745,0.0,62.0,40.0,49.5
mistral-large-2411,43.0,65.217,60.563,28.833,0.0,31.25,52.357,69.883,36.527,5.0,68.2,32.0,70.333,63.3,26.038,82.353,0.0,56.0,35.0,34.5
mistral-medium-2505,65.0,65.217,57.746,38.667,0.0,64.583,49.643,69.383,37.564,40.0,77.683,48.0,73.417,65.1,24.327,96.078,5.0,58.0,36.667,41.25
mistral-small-2503,38.0,50.0,49.296,23.0,0.0,37.5,39.677,62.417,26.758,20.0,67.967,42.0,61.417,62.85,27.808,76.471,5.0,54.0,35.0,34.25
o3-2025-04-16-high,79.0,71.739,81.69,97.0,25.0,93.75,82.261,85.933,50.988,60.0,89.433,100.0,84.083,85.25,37.962,96.078,25.0,80.0,93.0,91.0
o3-2025-04-16-medium,71.0,78.261,77.465,97.0,25.0,89.583,81.389,87.267,45.444,50.0,87.433,98.0,82.583,80.0,38.346,98.039,10.0,78.0,85.0,90.0
o3-pro-2025-06-10-high,81.0,76.087,77.465,98.0,10.0,92.708,80.532,87.267,55.645,75.0,87.3,98.0,83.667,85.25,38.808,100.0,10.0,86.0,88.0,98.0
o4-mini-2025-04-16-high,83.0,78.261,81.69,97.5,10.0,96.875,74.811,82.833,34.664,55.0,88.417,96.0,84.583,84.0,40.577,96.078,20.0,66.0,81.333,87.0
o4-mini-2025-04-16-medium,84.0,69.565,78.873,87.0,10.0,92.708,66.352,80.483,28.227,50.0,86.067,86.0,85.5,75.25,38.904,98.039,5.0,72.0,67.667,81.75
phi-4-reasoning-plus,84.0,52.174,69.014,33.667,0.0,90.625,13.873,71.833,18.41,15.0,75.417,68.0,75.833,69.583,25.173,84.314,0.0,40.0,51.0,54.5
qwen2.5-72b-instruct-turbo,64.0,65.217,49.296,29.833,0.0,48.958,42.673,65.517,31.564,10.0,62.15,34.0,62.75,67.15,27.769,72.549,0.0,48.0,32.0,36.25
qwen2.5-max,66.0,67.391,66.197,53.167,0.0,48.958,55.647,76.633,45.941,5.0,69.583,44.0,77.417,77.75,36.385,92.157,5.0,76.0,29.333,42.25
qwen3-235b-a22b-thinking,87.0,65.217,67.606,88.5,0.0,89.583,63.875,88.367,37.327,35.0,89.25,86.0,89.333,83.967,40.538,96.078,5.0,56.0,68.333,79.5
qwen3-30b-a3b-thinking,91.0,45.652,49.296,73.5,0.0,90.625,48.314,82.8,31.228,30.0,84.65,82.0,81.917,83.567,37.115,96.078,5.0,64.0,55.667,76.25
qwen3-32b-thinking,86.0,60.87,67.606,59.833,0.0,89.583,64.582,87.2,37.627,25.0,84.017,80.0,86.667,82.8,38.538,98.039,5.0,68.0,84.0,85.25
command-a-03-2025,58.0,52.174,56.338,23.333,0.0,41.667,36.96,85.933,34.755,10.0,82.0,38.0,87.75,75.933,22.404,74.51,5.0,52.0,34.0,37.0
gemma-3-12b-it,69.0,43.478,40.845,26.0,0.0,56.25,19.174,68.35,23.809,5.0,77.217,26.0,72.917,76.833,10.865,56.863,0.0,44.0,39.333,20.5
gemma-3-4b-it,57.0,13.043,18.31,10.167,0.0,19.792,17.186,65.783,11.011,0.0,70.25,22.0,60.667,57.633,8.346,27.451,0.0,24.0,26.333,11.0
gemma-3n-e2b-it,42.0,17.391,15.493,6.0,0.0,28.125,8.822,53.85,11.128,5.0,68.517,24.0,58.167,49.1,1.923,29.412,0.0,28.0,29.0,6.0
gemma-3n-e4b-it,51.0,34.783,28.169,16.0,0.0,33.333,12.495,64.25,13.675,5.0,69.617,26.0,60.75,64.35,6.423,27.451,0.0,48.0,29.333,10.5
gemini-2.5-flash-lite-preview-06-17-highthinking,85.0,56.522,61.972,50.167,0.0,82.292,46.137,84.683,33.608,20.0,84.667,78.0,82.25,85.083,34.923,96.078,0.0,74.0,54.0,58.25
grok-4-0709,86.0,65.217,77.465,97.0,0.0,93.75,86.774,77.083,60.497,55.0,82.4,96.0,75.583,77.417,41.019,98.039,15.0,70.0,97.333,100.0
kimi-k2-instruct,82.0,71.739,71.831,69.667,0.0,79.167,62.074,87.533,45.892,55.0,82.033,62.0,82.167,78.133,32.692,94.118,5.0,76.0,58.667,68.25
