model,AMPS_Hard,code_completion,code_generation,connections,javascript,math_comp,olympiad,paraphrase,plot_unscrambling,python,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,theory_of_mind,typescript,typos,zebra_puzzle
claude-4-1-opus-20250805-base,89.0,76.087,76.056,86.0,30.0,65.686,86.619,19.15,60.257,70.0,25.583,62.0,31.017,27.917,37.827,96.078,48.077,25.0,84.0,11.5
claude-4-1-opus-20250805-thinking-32k,93.0,76.087,73.239,93.833,45.0,85.294,88.483,35.35,60.458,70.0,44.4,90.0,44.683,45.183,44.25,98.039,67.308,20.0,64.0,62.0
claude-4-sonnet-20250514-base,84.0,82.609,78.873,74.833,25.0,70.588,80.841,16.983,54.209,65.0,22.183,60.0,24.75,26.8,35.25,94.118,57.692,20.0,84.0,13.0
claude-4-sonnet-20250514-thinking-64k,86.0,76.087,78.873,82.833,30.0,85.294,83.702,41.35,55.898,60.0,46.0,96.0,48.733,41.267,41.635,98.039,61.538,25.0,80.0,52.5
claude-haiku-4-5-20251001,88.0,73.913,70.423,71.333,20.0,68.627,71.259,15.483,37.804,45.0,18.95,58.0,16.417,20.167,38.269,94.118,50.0,20.0,62.0,9.75
claude-haiku-4-5-20251001-thinking-64k,97.0,69.565,76.056,84.833,30.0,95.098,80.03,42.65,42.53,60.0,45.367,90.0,57.267,53.833,42.577,96.078,44.231,20.0,72.0,58.5
claude-opus-4-5-20251101-high-effort,90.0,73.913,81.69,91.0,55.0,80.392,87.388,22.917,62.275,75.0,25.2,80.0,25.267,32.983,38.808,96.078,59.615,50.0,78.0,18.0
claude-opus-4-5-20251101-low-effort,86.0,76.087,80.282,86.0,45.0,76.471,86.942,23.5,61.536,65.0,30.6,74.0,27.5,34.217,32.712,98.039,50.0,40.0,84.0,17.25
claude-opus-4-5-20251101-medium-effort,88.0,73.913,83.099,89.667,65.0,83.333,86.938,22.817,62.303,70.0,27.317,82.0,31.733,30.567,36.346,98.039,53.846,55.0,84.0,19.0
claude-opus-4-5-20251101-thinking-high-effort,99.0,80.435,78.873,99.333,35.0,95.098,89.458,65.667,66.45,85.0,54.95,96.0,65.85,63.717,45.923,98.039,78.846,45.0,78.0,77.5
claude-opus-4-5-20251101-thinking-low-effort,85.0,76.087,78.873,99.333,45.0,90.196,87.415,45.767,60.92,70.0,52.767,84.0,54.783,49.933,33.885,98.039,55.769,35.0,82.0,74.0
claude-opus-4-5-20251101-thinking-medium-effort,98.0,76.087,78.873,98.333,55.0,92.157,88.805,62.817,62.718,70.0,56.217,98.0,66.8,56.233,40.981,98.039,73.077,50.0,80.0,83.75
claude-sonnet-4-5-20250929,91.0,76.087,76.056,80.667,45.0,68.627,82.852,19.633,57.328,80.0,19.367,70.0,28.183,26.9,36.635,98.039,51.923,25.0,90.0,15.25
claude-sonnet-4-5-20250929-thinking-64k,97.0,80.435,80.282,91.333,40.0,90.196,83.058,53.417,62.023,75.0,47.867,96.0,58.4,53.717,45.481,98.039,78.846,35.0,76.0,67.5
deepseek-v3.2-exp,92.0,71.739,74.648,79.333,30.0,75.49,77.04,16.083,45.455,55.0,20.85,80.0,16.717,23.667,32.135,98.039,50.0,20.0,72.0,12.0
deepseek-v3.2-exp-thinking,96.0,73.913,66.197,87.667,20.0,92.157,82.424,34.333,47.526,50.0,41.0,88.0,42.517,47.233,45.558,100.0,69.231,10.0,78.0,30.25
gemini-2.5-flash-06-05-highthinking,85.0,63.043,69.014,70.167,10.0,87.255,81.762,25.433,52.657,35.0,22.467,86.0,32.917,33.167,41.327,98.039,42.308,0.0,64.0,18.25
