model,AMPS_Hard,code_completion,code_generation,connections,javascript,logic_with_navigation,math_comp,olympiad,paraphrase,plot_unscrambling,python,simplify,story_generation,sudoku,summarize,tablejoin,tablereformat,theory_of_mind,typescript,typos
claude-4-1-opus-20250805-base,89.0,76.087,76.056,86.0,30.0,42.0,65.686,86.619,19.15,60.257,70.0,25.583,31.017,2.0,27.917,37.827,96.078,48.077,25.0,84.0
claude-4-1-opus-20250805-thinking-32k,93.0,76.087,73.239,93.833,45.0,70.0,85.294,88.483,35.35,60.458,70.0,44.4,44.683,16.0,45.183,44.25,98.039,67.308,20.0,64.0
claude-4-sonnet-20250514-base,84.0,82.609,78.873,74.833,25.0,28.0,70.588,80.841,16.983,54.209,65.0,22.183,24.75,2.0,26.8,35.25,94.118,57.692,20.0,84.0
claude-4-sonnet-20250514-thinking-64k,86.0,76.087,78.873,82.833,30.0,66.0,85.294,83.702,41.35,55.898,60.0,46.0,48.733,10.0,41.267,41.635,98.039,61.538,25.0,80.0
claude-haiku-4-5-20251001,88.0,73.913,70.423,71.333,20.0,18.0,68.627,71.259,15.483,37.804,45.0,18.95,16.417,2.0,20.167,38.269,94.118,50.0,20.0,62.0
claude-haiku-4-5-20251001-thinking-64k,97.0,69.565,76.056,84.833,30.0,54.0,95.098,80.03,42.65,42.53,60.0,45.367,57.267,12.0,53.833,42.577,96.078,44.231,20.0,72.0
claude-opus-4-5-20251101-high-effort,90.0,73.913,81.69,91.0,55.0,62.0,80.392,87.388,22.917,62.275,75.0,25.2,25.267,2.0,32.983,38.808,96.078,59.615,50.0,78.0
claude-opus-4-5-20251101-low-effort,86.0,76.087,80.282,86.0,45.0,50.0,76.471,86.942,23.5,61.536,65.0,30.6,27.5,0.0,34.217,32.712,98.039,50.0,40.0,84.0
claude-opus-4-5-20251101-medium-effort,88.0,73.913,83.099,89.667,65.0,58.0,83.333,86.938,22.817,62.303,70.0,27.317,31.733,2.0,30.567,36.346,98.039,53.846,55.0,84.0
claude-opus-4-5-20251101-thinking-64k-high-effort,99.0,80.435,78.873,99.333,35.0,68.0,95.098,89.458,65.667,66.45,85.0,54.95,65.85,52.0,63.717,45.923,98.039,78.846,45.0,78.0
claude-opus-4-5-20251101-thinking-64k-low-effort,85.0,76.087,78.873,99.333,45.0,68.0,90.196,87.415,45.767,60.92,70.0,52.767,54.783,48.0,49.933,33.885,98.039,55.769,35.0,82.0
claude-opus-4-5-20251101-thinking-64k-medium-effort,98.0,76.087,78.873,98.333,55.0,74.0,92.157,88.805,62.817,62.718,70.0,56.217,66.8,54.0,56.233,40.981,98.039,73.077,50.0,80.0
claude-sonnet-4-5-20250929,91.0,76.087,76.056,80.667,45.0,32.0,68.627,82.852,19.633,57.328,80.0,19.367,28.183,4.0,26.9,36.635,98.039,51.923,25.0,90.0
claude-sonnet-4-5-20250929-thinking-64k,97.0,80.435,80.282,91.333,40.0,68.0,90.196,83.058,53.417,62.023,75.0,47.867,58.4,30.0,53.717,45.481,98.039,78.846,35.0,76.0
deepseek-v3.2,95.0,73.913,77.465,81.833,40.0,42.0,76.471,74.346,20.6,44.885,65.0,23.967,20.683,2.0,27.0,35.385,98.039,50.0,30.0,66.0
deepseek-v3.2-exp,92.0,71.739,74.648,79.333,30.0,40.0,75.49,77.04,16.083,45.455,55.0,20.85,16.717,4.0,23.667,32.135,98.039,50.0,20.0,72.0
