model,AMPS_Hard,code_completion,code_generation,connections,consecutive_events,integrals_with_game,javascript,logic_with_navigation,math_comp,olympiad,paraphrase,plot_unscrambling,python,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,theory_of_mind,typescript,typos,zebra_puzzle
arcee-trinity-large-preview,61.0,60.87,70.423,34.833,6.556,8.0,0.0,2.0,47.059,63.669,12.55,31.617,10.0,11.0,46.0,10.6,14.617,20.308,94.118,26.923,0.0,60.0,7.5
claude-4-1-opus-20250805-base,89.0,76.087,76.056,86.0,2.223,10.0,45.0,42.0,65.686,86.619,19.15,60.257,75.0,25.583,62.0,31.017,27.917,37.827,96.078,48.077,40.0,84.0,11.5
claude-4-1-opus-20250805-thinking-32k,93.0,76.087,73.239,93.833,4.641,26.0,45.0,70.0,85.294,88.483,35.35,60.458,70.0,44.4,90.0,44.683,45.183,44.25,98.039,67.308,30.0,64.0,62.0
claude-4-sonnet-20250514-base,84.0,82.609,78.873,74.833,2.833,6.0,25.0,28.0,70.588,80.841,16.983,54.209,65.0,22.183,60.0,24.75,26.8,35.25,94.118,57.692,25.0,84.0,13.0
claude-4-sonnet-20250514-thinking-64k,86.0,76.087,78.873,82.833,24.21,27.0,30.0,66.0,85.294,83.702,41.35,55.898,60.0,46.0,96.0,48.733,41.267,41.635,98.039,61.538,30.0,80.0,52.5
claude-haiku-4-5-20251001,88.0,73.913,70.423,71.333,2.988,4.0,30.0,18.0,68.627,71.259,15.483,37.804,45.0,18.95,58.0,16.417,20.167,38.269,94.118,50.0,25.0,62.0,9.75
claude-haiku-4-5-20251001-thinking-64k,97.0,69.565,76.056,84.833,39.232,38.0,40.0,54.0,95.098,80.03,42.65,42.53,65.0,45.367,90.0,57.267,53.833,42.577,96.078,44.231,20.0,72.0,58.5
claude-opus-4-5-20251101-high-effort,90.0,73.913,81.69,91.0,1.951,8.0,55.0,62.0,80.392,87.388,22.917,62.275,75.0,25.2,80.0,25.267,32.983,38.808,96.078,59.615,55.0,78.0,18.0
claude-opus-4-5-20251101-low-effort,86.0,76.087,80.282,86.0,1.749,7.0,45.0,50.0,76.471,86.942,23.5,61.536,65.0,30.6,74.0,27.5,34.217,32.712,98.039,50.0,40.0,84.0,17.25
claude-opus-4-5-20251101-medium-effort,88.0,73.913,83.099,89.667,2.239,7.0,65.0,58.0,83.333,86.938,22.817,62.303,70.0,27.317,82.0,31.733,30.567,36.346,98.039,53.846,55.0,84.0,19.0
claude-opus-4-5-20251101-thinking-64k-high-effort,99.0,80.435,78.873,99.333,79.363,78.0,50.0,68.0,95.098,89.458,65.667,66.45,85.0,54.95,96.0,65.85,63.717,45.923,98.039,78.846,55.0,78.0,77.5
claude-opus-4-5-20251101-thinking-64k-low-effort,85.0,76.087,78.873,99.333,27.144,44.0,45.0,68.0,90.196,87.415,45.767,60.92,70.0,52.767,84.0,54.783,49.933,33.885,98.039,55.769,35.0,82.0,74.0
claude-opus-4-5-20251101-thinking-64k-medium-effort,98.0,76.087,78.873,98.333,78.026,62.0,55.0,74.0,92.157,88.805,62.817,62.718,70.0,56.217,98.0,66.8,56.233,40.981,98.039,73.077,50.0,80.0,83.75
claude-opus-4-6-thinking-auto-high-effort,97.0,76.087,80.282,99.333,63.467,73.0,60.0,80.0,95.098,92.17,62.817,66.476,80.0,59.15,98.0,66.133,65.15,48.173,98.039,82.692,45.0,84.0,94.0
claude-sonnet-4-5-20250929,91.0,76.087,76.056,80.667,6.341,8.0,45.0,32.0,68.627,82.852,19.633,57.328,80.0,19.367,70.0,28.183,26.9,36.635,98.039,51.923,20.0,90.0,15.25
claude-sonnet-4-5-20250929-thinking-64k,97.0,80.435,80.282,91.333,27.379,47.0,40.0,68.0,90.196,83.058,53.417,62.023,75.0,47.867,96.0,58.4,53.717,45.481,98.039,78.846,45.0,76.0,67.5
claude-sonnet-4-6-thinking-auto-high-effort,78.0,78.261,81.69,97.333,82.9,87.0,50.0,76.0,93.137,87.998,61.833,59.747,70.0,60.933,100.0,64.867,68.033,49.192,96.078,75.0,50.0,76.0,94.5
deepseek-v3.2,95.0,73.913,77.465,81.833,1.678,10.0,40.0,42.0,76.471,74.346,20.6,44.885,70.0,23.967,76.0,20.683,27.0,35.385,98.039,50.0,30.0,66.0,9.0
deepseek-v3.2-exp,92.0,71.739,74.648,79.333,2.602,13.0,30.0,40.0,75.49,77.04,16.083,45.455,55.0,20.85,80.0,16.717,23.667,32.135,98.039,50.0,25.0,72.0,12.0
deepseek-v3.2-exp-thinking,96.0,73.913,66.197,87.667,8.947,59.0,25.0,70.0,92.157,82.424,34.333,47.526,50.0,41.0,88.0,42.517,47.233,45.558,100.0,69.231,20.0,78.0,30.25
deepseek-v3.2-thinking,97.0,63.043,66.197,93.5,8.402,63.0,30.0,64.0,95.098,85.037,41.817,45.726,60.0,48.217,98.0,55.117,47.6,41.596,100.0,76.923,30.0,72.0,69.75
devstral-2512,80.0,67.391,66.197,34.333,3.517,7.0,40.0,16.0,60.784,62.279,12.35,38.674,70.0,13.217,56.0,11.533,16.9,21.75,92.157,38.462,20.0,64.0,0.5
gemini-2.5-flash-06-05-highthinking,85.0,63.043,69.014,70.167,2.566,21.0,10.0,32.0,87.255,81.762,25.433,52.657,40.0,22.467,86.0,32.917,33.167,41.327,98.039,42.308,0.0,64.0,18.25
gemini-2.5-flash-lite-highthinking,93.0,65.217,67.606,61.833,6.622,11.0,5.0,42.0,73.529,66.633,16.6,32.108,10.0,23.35,84.0,27.75,24.6,36.462,98.039,34.615,0.0,62.0,12.75
gemini-2.5-flash-lite-preview-09-2025-highthinking,93.0,67.391,63.38,63.0,8.346,17.0,5.0,24.0,83.333,66.279,27.183,32.803,0.0,24.283,68.0,32.733,28.233,37.25,98.039,40.385,0.0,62.0,12.25
gemini-2.5-flash-preview-09-2025-highthinking,96.0,67.391,67.606,77.667,37.524,32.0,15.0,60.0,89.216,84.188,24.467,52.362,40.0,26.95,80.0,30.767,28.533,47.385,98.039,42.308,15.0,66.0,23.5
gemini-2.5-pro-06-05-highthinking,74.0,73.913,77.465,87.5,11.844,24.0,30.0,68.0,89.216,86.047,28.6,62.987,45.0,34.467,98.0,32.15,37.05,44.962,98.039,69.231,25.0,76.0,48.0
gemini-3-flash-preview-high,98.0,71.739,76.056,100.0,74.837,56.0,40.0,72.0,93.137,89.56,72.983,65.694,45.0,70.133,96.0,71.467,84.867,51.442,98.039,82.692,35.0,88.0,47.5
gemini-3-flash-preview-minimal,94.0,78.261,78.873,96.5,7.224,12.0,40.0,44.0,84.314,82.081,19.767,59.439,55.0,30.033,82.0,30.7,32.783,39.654,98.039,51.923,35.0,80.0,18.75
gemini-3-pro-preview-11-2025-high,97.0,71.739,77.465,100.0,73.342,45.0,60.0,70.0,95.098,90.25,64.317,69.863,70.0,58.167,98.0,66.8,74.1,51.788,98.039,76.923,35.0,84.0,64.75
